source,target,value
mellow,Zepaltas,0.785375274
peachy,Zepaltas,0.744486448
oregano,Zepaltas,0.743740609
bramble,Zepaltas,0.728611
intriguing,Zepaltas,0.727763369
hedonistic,Zepaltas,0.706523143
eucalyptus,Zepaltas,0.678898883
grippy,Zepaltas,0.675707591
perfumed,Zepaltas,0.663232708
alive,Zepaltas,0.650581107
dried,Zepaltas,0.650309918
juniper,Zepaltas,0.645186947
burly,Zepaltas,0.632203489
unfussy,Zepaltas,0.626781836
rosemary,Zepaltas,0.621232899
cardamom,Zepaltas,0.618738186
vivid,Zepaltas,0.608293298
midpalate,Zepaltas,0.593161997
perennial,Zepaltas,0.589224755
rhubarb,Zepaltas,0.588384556
versatile,Zepaltas,0.5836207
peppercorn,Zepaltas,0.5621382
tangy,Zepaltas,0.561329349
addictive,Zepaltas,0.561329349
grilled,Zepaltas,0.561180679
pithy,Zepaltas,0.56079139
strong,Zepaltas,0.536637657
herb,Zepaltas,0.531913566
nervy,Zepaltas,0.529196027
pine,Zepaltas,0.526367654
poached,Zepaltas,0.526367654
tobacco,Zepaltas,0.514375274
subtle,Zepaltas,0.506447049
sublime,Zepaltas,0.506447049
italian,Zepaltas,0.506447049
savory,Zepaltas,0.504989913
bountiful,Zepaltas,0.504989913
playful,Zepaltas,0.504989913
sour,Zepaltas,0.504749189
peachy,Navarro,0.675393116
versatile,Navarro,0.659497425
poached,Navarro,0.654875714
ideal,Navarro,0.632232998
honeyed,Navarro,0.612235896
assertive,Navarro,0.596034811
bountiful,Navarro,0.583713831
addictive,Navarro,0.578860154
perfumed,Navarro,0.560389815
alive,Navarro,0.555416108
vivid,Navarro,0.544776491
pithy,Navarro,0.542602219
flavorful,Navarro,0.540498557
sublime,Navarro,0.53709958
playful,Navarro,0.536598922
sorbet,Navarro,0.532730231
vibrant,Navarro,0.519656484
unfussy,Navarro,0.519656484
coveted,Navarro,0.519656484
perennial,Navarro,0.518663239
creamy,Navarro,0.517102648
lemony,Navarro,0.513156269
unfussy,Parducci,0.725528983
perennial,Parducci,0.641035904
burly,Parducci,0.638086337
assertive,Parducci,0.637549586
nonvintage,Parducci,0.630584888
surprising,Parducci,0.626372766
peachy,Parducci,0.6262119
traditional,Parducci,0.6262119
perfumed,Parducci,0.619110846
poached,Parducci,0.608992862
italian,Parducci,0.601367271
vivid,Parducci,0.601367271
playful,Parducci,0.589334956
addictive,Parducci,0.586094073
leathery,Parducci,0.570437939
bold,Parducci,0.56739995
attractive,Parducci,0.566406198
monumental,Parducci,0.562744222
coveted,Parducci,0.562744222
ideal,Parducci,0.556035104
whole,Parducci,0.552882383
aromatic,Parducci,0.543901766
midpalate,Parducci,0.541305556
native,Parducci,0.541305556
exuberant,Parducci,0.534720698
sublime,Parducci,0.531376643
graham,Parducci,0.530258849
bountiful,Parducci,0.522943769
vibrant,Heitz,0.5978646
hazelnut,Heitz,0.715036101
tangy,Heitz,0.638658552
savory,Heitz,0.533383416
attractive,Heitz,0.596576377
oregano,Heitz,0.614602833
savory,Heitz,0.533383416
attractive,Heitz,0.596576377
native,Heitz,0.753048799
honeyed,Heitz,0.551702336
tasty,Heitz,0.537154253
rosemary,Heitz,0.616980419
oregano,Heitz,0.614602833
luxurious,Heitz,0.586221696
alive,Heitz,0.730215369
exuberant,Heitz,0.547886562
addictive,Heitz,0.942434565
floral,Heitz,0.616401285
light,Heitz,0.566426111
nectarine,Heitz,0.612277687
peachy,Heitz,0.811120679
seductive,Heitz,0.621023726
monumental,Brandlin,0.81455069
burly,Brandlin,0.780517236
surprising,Brandlin,0.686450266
perfumed,Brandlin,0.607140358
mellow,Brandlin,0.593390238
expensive,Brandlin,0.502611135
classic,Brandlin,0.533073706
addictive,Brandlin,0.676332101
hedonistic,Brandlin,0.588063743
enjoyment,Brandlin,0.597881989
perennial,Brandlin,0.759487772
hazelnut,Andis,0.518955056
seductive,Andis,0.505011353
juniper,Andis,0.612146964
perfumed,Andis,0.570744475
perennial,Andis,0.615801133
aromatic,Andis,0.592923672
italian,Andis,0.61669222
exuberant,Andis,0.533621471
addictive,Andis,0.625680362
playful,Andis,0.780999127
grippy,Andis,0.696368608
assertive,Andis,0.714620961
graham,Andis,0.682279062
fresh,Andis,0.527392691
dense,Andis,0.519232487
luxurious,Andis,0.558690163
unfussy,Ironstone,0.705216682
pleasant,Ironstone,0.645979532
versatile,Ironstone,0.61241428
perfumed,Ironstone,0.611689246
addictive,Ironstone,0.564971355
ideal,Ironstone,0.561329567
dominant,Ironstone,0.561115297
poached,Ironstone,0.55749129
peachy,Ironstone,0.575261985
sharp,Ironstone,0.537918655
dried,Ironstone,0.534888848
smooth,Ironstone,0.531143733
thin,Ironstone,0.521177068
grilled,Ironstone,0.520943317
bountiful,Ironstone,0.512940946
sour,Ironstone,0.506198771
soft,Ironstone,0.502135991
fine,Roar,0.507314088
delicious,Roar,0.5463419
complex,Roar,0.51164963
silky,Roar,0.556638392
considerable,Roar,0.525471662
seductive,Roar,0.597886804
vibrant,Roar,0.559211711
luxurious,Roar,0.552228719
addictive,Roar,0.718652863
bountiful,Roar,0.710298583
sublime,Roar,0.691164925
hedonistic,Roar,0.690966268
mellow,Roar,0.555257404
cardamom,Roar,0.552929132
brown,Roar,0.552684902
rich,Roar,0.552538279
mocha,Roar,0.547001978
delicious,Roar,0.5463419
attractive,Roar,0.545426114
perennial,Roar,0.538408311
nutmeg,Roar,0.523433659
acidity,Roar,0.524283619
russian,Roar,0.507549254
exotic,Roar,0.507373955
red,Roar,0.506504333
sweet,Roar,0.501279364
attractive,Raymond,0.633724917
unfussy,Raymond,0.61329461
strong,Raymond,0.588842323
surprising,Raymond,0.579979392
smooth,Raymond,0.573050729
complete,Raymond,0.528735787
perfumed,Raymond,0.528526621
burly,Raymond,0.518406377
smoky,Raymond,0.508886681
dominant,Raymond,0.502422869
lush,Raymond,0.501022567
